Timestamp,TSLA,NFLX,AMZN,META
2024-07-23 10:41:48,248.58,643.44,188.41,492.49
0,2024-07-23 10:42:47,249.17,643.44,188.38,492.49
0,2024-07-23 10:42:49,249.17,643.44,188.38,492.49
0,2024-07-23 10:42:51,249.17,643.44,188.38,492.49
0,2024-07-23 10:42:51,248.58,643.44,188.38,492.49
0,2024-07-23 10:42:53,249.17,643.44,188.38,492.49
0,2024-07-23 10:42:53,249.17,643.44,188.38,492.49
0,2024-07-23 10:42:54,249.17,643.44,188.38,492.49
0,2024-07-23 10:42:55,249.17,643.44,188.38,492.49
0,2024-07-23 10:42:56,249.17,643.44,188.38,492.49
0,2024-07-23 10:42:57,249.17,643.44,188.38,492.49
0,2024-07-23 10:42:58,249.17,643.44,188.38,492.49
0,2024-07-23 10:42:58,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:00,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:00,248.58,643.44,188.38,492.49
0,2024-07-23 10:43:02,248.58,643.44,188.38,492.49
0,2024-07-23 10:43:02,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:04,248.58,643.44,188.38,492.49
0,2024-07-23 10:43:04,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:05,248.58,643.44,188.38,492.49
0,2024-07-23 10:43:06,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:07,248.58,643.44,188.38,492.49
0,2024-07-23 10:43:07,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:09,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:09,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:11,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:11,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:12,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:13,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:14,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:15,248.58,643.44,188.38,492.49
0,2024-07-23 10:43:16,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:16,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:18,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:18,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:19,248.58,643.44,188.38,492.49
0,2024-07-23 10:43:20,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:21,248.58,643.44,188.38,492.49
0,2024-07-23 10:43:22,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:23,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:23,248.58,643.44,188.38,492.49
0,2024-07-23 10:43:25,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:42,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:44,249.17,643.44,188.38,492.49
0,2024-07-23 10:43:46,248.58,643.44,188.38,492.49
0,2024-07-23 10:43:48,249.17,643.44,188.38,492.49
0,2024-07-23 10:44:32,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:34,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:36,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:38,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:38,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:39,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:40,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:41,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:42,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:43,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:44,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:45,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:46,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:47,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:48,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:49,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:49,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:51,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:51,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:53,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:53,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:55,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:55,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:56,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:57,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:58,248.58,643.44,188.38,492.49
0,2024-07-23 10:44:59,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:00,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:01,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:02,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:03,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:04,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:05,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:06,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:07,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:08,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:09,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:09,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:11,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:11,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:13,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:13,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:15,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:15,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:17,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:17,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:19,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:19,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:20,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:20,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:23,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:23,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:24,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:25,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:26,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:26,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:28,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:28,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:29,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:30,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:31,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:32,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:33,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:34,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:35,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:36,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:36,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:38,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:38,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:39,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:40,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:41,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:42,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:43,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:43,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:45,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:45,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:47,248.58,643.44,188.38,492.49
